no,baris,word,wordTotal,n,tf,idf,tf_idf
371,528,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
372,529,dosi,106,1,0.009433962,5.883322388,0.055503041
373,530,lengkap,120,1,0.008333333,5.883322388,0.049027687
374,531,di,380,1,0.002631579,5.883322388,0.015482427
375,532,kabupaten,23,1,0.043478261,5.883322388,0.255796626
376,533,bekasi,17,1,0.058823529,5.883322388,0.346077788
377,537,komisi,12,1,0.083333333,5.883322388,0.490276866
378,539,dpr,12,1,0.083333333,5.883322388,0.490276866
379,541,vaksin,244,1,0.004098361,5.883322388,0.024111977
380,542,booster,719,1,0.001390821,5.883322388,0.008182646
381,543,jadi,79,1,0.012658228,5.883322388,0.074472435
382,544,syarat,73,1,0.01369863,5.883322388,0.080593457
383,545,mudik,561,1,0.001782531,5.883322388,0.010487206
384,546,lebaran,77,1,0.012987013,5.883322388,0.076406784
385,547,dorong,17,1,0.058823529,5.883322388,0.346077788
386,548,percepatan,71,1,0.014084507,5.883322388,0.082863696
387,549,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
388,550,rt,464,1,0.002155172,5.883322388,0.012679574
389,552,telah,38,1,0.026315789,5.883322388,0.154824273
390,554,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
391,556,covid,328,1,0.00304878,5.883322388,0.017936959
392,557,dan,393,1,0.002544529,5.883322388,0.014970286
393,559,telah,38,1,0.026315789,5.883322388,0.154824273
394,561,semua,22,1,0.045454545,5.883322388,0.267423745
395,563,dan,393,1,0.002544529,5.883322388,0.014970286
396,564,melakukan,47,1,0.021276596,5.883322388,0.125177072
397,565,rt,464,1,0.002155172,5.883322388,0.012679574
398,566,disiplin,34,1,0.029411765,5.883322388,0.173038894
399,567,proke,42,1,0.023809524,5.883322388,0.140079104
400,569,dengan,123,1,0.008130081,5.883322388,0.047831889
401,570,memakai,12,1,0.083333333,5.883322388,0.490276866
402,572,untuk,271,1,0.003690037,5.883322388,0.021709677
403,573,mencegah,31,1,0.032258065,5.883322388,0.189784593
404,575,penularan,36,1,0.027777778,5.883322388,0.163425622
405,576,serta,38,1,0.026315789,5.883322388,0.154824273
406,577,tingkatkan,13,1,0.076923077,5.883322388,0.452563261
407,578,imunita,26,1,0.038461538,5.883322388,0.22628163
408,579,tubuh,25,1,0.04,5.883322388,0.235332896
409,581,pelaksanaan,47,1,0.021276596,5.883322388,0.125177072
410,582,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
411,583,massal,33,1,0.03030303,5.883322388,0.178282497
412,584,polr,136,1,0.007352941,5.883322388,0.043259723
413,586,dalam,56,1,0.017857143,5.883322388,0.105059328
414,588,percepatan,71,1,0.014084507,5.883322388,0.082863696
415,589,vaksin,244,1,0.004098361,5.883322388,0.024111977
416,590,di,380,1,0.002631579,5.883322388,0.015482427
417,592,dilakukan,16,1,0.0625,5.883322388,0.367707649
418,594,meski,13,1,0.076923077,5.883322388,0.452563261
419,595,begitu,13,1,0.076923077,5.883322388,0.452563261
420,596,ganjar,15,1,0.066666667,5.883322388,0.392221493
421,597,memastikan,16,1,0.0625,5.883322388,0.367707649
422,598,seluruh,39,1,0.025641026,5.883322388,0.15085442
423,599,jajarannya,15,1,0.066666667,5.883322388,0.392221493
424,600,untuk,271,1,0.003690037,5.883322388,0.021709677
425,601,siaga,15,1,0.066666667,5.883322388,0.392221493
426,602,dan,393,1,0.002544529,5.883322388,0.014970286
427,603,terus,85,1,0.011764706,5.883322388,0.069215558
428,604,mengikuti,31,1,0.032258065,5.883322388,0.189784593
429,605,perkembangan,15,1,0.066666667,5.883322388,0.392221493
430,606,situasi,16,1,0.0625,5.883322388,0.367707649
431,607,covid,328,1,0.00304878,5.883322388,0.017936959
432,609,kegiatan,77,1,0.012987013,5.883322388,0.076406784
433,612,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
434,613,massal,33,1,0.03030303,5.883322388,0.178282497
435,614,serentak,71,1,0.014084507,5.883322388,0.082863696
436,615,seluruh,39,1,0.025641026,5.883322388,0.15085442
437,616,indonesia,140,1,0.007142857,5.883322388,0.042023731
438,617,yang,176,1,0.005681818,5.883322388,0.033427968
439,619,oleh,11,1,0.090909091,5.883322388,0.53484749
440,620,kabaintelkam,13,1,0.076923077,5.883322388,0.452563261
441,621,polri,43,1,0.023255814,5.883322388,0.136821451
442,623,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
443,624,booster,719,1,0.001390821,5.883322388,0.008182646
444,625,di,380,1,0.002631579,5.883322388,0.015482427
445,626,kabupaten,23,1,0.043478261,5.883322388,0.255796626
446,627,bekasi,17,1,0.058823529,5.883322388,0.346077788
447,628,sudah,152,1,0.006578947,5.883322388,0.038706068
448,629,rt,464,1,0.002155172,5.883322388,0.012679574
449,630,sejumlah,14,1,0.071428571,5.883322388,0.420237313
450,631,program,41,1,0.024390244,5.883322388,0.143495668
451,632,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
452,633,covid,328,1,0.00304878,5.883322388,0.017936959
453,634,booster,719,1,0.001390821,5.883322388,0.008182646
454,635,dki,16,1,0.0625,5.883322388,0.367707649
455,638,minyak,19,1,0.052631579,5.883322388,0.309648547
456,639,goreng,18,1,0.055555556,5.883322388,0.326851244
457,644,di,380,1,0.002631579,5.883322388,0.015482427
458,645,lokasi,16,1,0.0625,5.883322388,0.367707649
459,647,rt,464,1,0.002155172,5.883322388,0.012679574
460,648,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
461,649,serentak,71,1,0.014084507,5.883322388,0.082863696
462,650,di,380,1,0.002631579,5.883322388,0.015482427
463,653,polr,136,1,0.007352941,5.883322388,0.043259723
464,657,kompol,11,1,0.090909091,5.883322388,0.53484749
465,662,sik,21,1,0.047619048,5.883322388,0.280158209
466,663,melakukan,47,1,0.021276596,5.883322388,0.125177072
467,665,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
468,666,yang,176,1,0.005681818,5.883322388,0.033427968
469,668,di,380,1,0.002631579,5.883322388,0.015482427
470,669,pt,13,1,0.076923077,5.883322388,0.452563261
471,671,kita,24,1,0.041666667,5.883322388,0.245138433
472,672,harus,11,1,0.090909091,5.883322388,0.53484749
473,675,mengikuti,31,1,0.032258065,5.883322388,0.189784593
474,676,perkembangan,15,1,0.066666667,5.883322388,0.392221493
475,679,satu,21,1,0.047619048,5.883322388,0.280158209
476,681,yang,176,1,0.005681818,5.883322388,0.033427968
477,682,kita,24,1,0.041666667,5.883322388,0.245138433
478,684,adalah,21,1,0.047619048,5.883322388,0.280158209
479,685,meningkatkan,32,1,0.03125,5.883322388,0.183853825
480,687,polsek,75,1,0.013333333,5.883322388,0.078444299
481,689,polr,136,1,0.007352941,5.883322388,0.043259723
482,691,polda,28,1,0.035714286,5.883322388,0.210118657
483,692,jawa,27,1,0.037037037,5.883322388,0.217900829
484,693,barat,27,1,0.037037037,5.883322388,0.217900829
485,695,kegiatan,77,1,0.012987013,5.883322388,0.076406784
486,696,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
487,697,di,380,1,0.002631579,5.883322388,0.015482427
488,700,timur,12,1,0.083333333,5.883322388,0.490276866
489,701,ada,46,1,0.02173913,5.883322388,0.127898313
490,709,belum,16,1,0.0625,5.883322388,0.367707649
491,710,ikut,33,1,0.03030303,5.883322388,0.178282497
492,712,warga,102,1,0.009803922,5.883322388,0.057679631
493,713,yang,176,1,0.005681818,5.883322388,0.033427968
494,714,belum,16,1,0.0625,5.883322388,0.367707649
495,715,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
496,716,booster,719,1,0.001390821,5.883322388,0.008182646
497,718,rt,464,1,0.002155172,5.883322388,0.012679574
498,719,ada,46,1,0.02173913,5.883322388,0.127898313
499,721,baik,22,1,0.045454545,5.883322388,0.267423745
500,722,nih,13,1,0.076923077,5.883322388,0.452563261
501,726,kembali,20,1,0.05,5.883322388,0.294166119
502,728,vaksinasi,1361,1,0.000734754,5.883322388,0.004322794
503,729,booster,719,1,0.001390821,5.883322388,0.008182646
504,730,nih,13,1,0.076923077,5.883322388,0.452563261
